business_id,name,photos
KglDmt_BDOEqmBjJ8X2bPQ,Le Relais de l’Entrecôte,"['https://s3-media2.fl.yelpcdn.com/bphoto/okTGLBTEt7rhbl0bl7cDGA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/EiXKgHcIbngmTdP3cg67lQ/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/kah7iOG21shQrD4RFRRZ1g/o.jpg']"
PGH7BfXz0PNHuwlSt453rA,Le Boui Boui,"['https://s3-media3.fl.yelpcdn.com/bphoto/ByEGEZObiEotGPlZzBuyLg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/rlnc6HgA7xFxgXwk33_6Jg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/rGuWldSRK_ecfDjZwTTK1w/o.jpg']"
qz7R7oLeEEfvKOlWCxqMVw,Les Philosophes,"['https://s3-media2.fl.yelpcdn.com/bphoto/IC491egaE9VwGHYdapqopQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/TZCP-_jFocoEj05_304xvw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/d-czcL_qZWfGEZk9x4SWlw/o.jpg']"
n601y41nOORUePsM7KsuaA,Gambino,"['https://s3-media1.fl.yelpcdn.com/bphoto/VMKqpx_joPC1k5aKE5kTfA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/8maPtidLwqu6BA-1hnAcYA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/8DQhBybG_F5a0YZBDfs7Wg/o.jpg']"
-cSK_-y04p3oVu98DShiyQ,Robert et Louise,"['https://s3-media1.fl.yelpcdn.com/bphoto/ZF1XSFKQ46omYtsFtBhmGQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/DmZvpXsgAhJtsoFRpLxT0A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/2yjKI2hLoASV8iSFrbcALw/o.jpg']"
K-cAB9sz9UoopOP0APEi0g,Les Cocottes,"['https://s3-media4.fl.yelpcdn.com/bphoto/P7Qh9STbT0IJQDY0ohNuqg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/pJh1B89k55m7Gv-C7Mrirg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/1T8smo3PSJ_SY_pNcGEuyA/o.jpg']"
15tUXLav_KIRjszu8IJJ3w,Le Bistrot des Vosges,"['https://s3-media3.fl.yelpcdn.com/bphoto/gjgx0BAbS-GJUEAVMJIsFA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/deU37W2iPzo9ZO4Byp1xfA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/ND7uX_79p5qqLJsA5uIJEg/o.jpg']"
ctP4c3mwVO5oOzLI48LtuQ,Les Antiquaires,"['https://s3-media3.fl.yelpcdn.com/bphoto/aBwaSVkWWFKTGl1gM8N90g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/8bQG-cGHKemJFIC3SOluug/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/NflYeVtucmbu2wKYp6HIzQ/o.jpg']"
kYb2q4Li8Cw2PY_I9lCJOw,Chez Janou,"['https://s3-media2.fl.yelpcdn.com/bphoto/gCrBJ7SsnPpGC6NCEkj4vA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/bmpO8lon1b9EbXX-redYtg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/xhX6FqV9BQSgVWgf-vl-5g/o.jpg']"
cSw70yMlnM0eeYo2b-WRGA,La French Guinguette,"['https://s3-media2.fl.yelpcdn.com/bphoto/iCMOwlz041Rf5RA5aIAO7g/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/oMRS-iRDdGjRsVzzSbixEg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/dnF-7mAj31TPI8vBuTJF_Q/o.jpg']"
